$-Code, Setting, Units, Setting Description
0,Step pulse time,microseconds,Sets time length per step. Minimum 3usec.
1,Step idle delay,milliseconds,Sets a short hold delay when stopping to let dynamics settle before disabling steppers. Value 255 keeps motors enabled with no delay.
2,Step pulse invert,mask,Inverts the step signal. Set axis bit to invert (00000ZYX).
3,Step direction invert,mask,Inverts the direction signal. Set axis bit to invert (00000ZYX).
4,Invert step enable pin,boolean,Inverts the stepper driver enable pin signal.
5,Invert limit pins,boolean,Inverts the all of the limit input pins.
6,Invert probe pin,boolean,Inverts the probe input pin signal.
10,Status report options,mask,Alters data included in status reports.
11,Junction deviation,millimeters,Sets how fast Grbl travels through consecutive motions. Lower value slows it down.
12,Arc tolerance,millimeters,Sets the G2 and G3 arc tracing accuracy based on radial error. Beware: A very small value may effect performance.
13,Report in inches,boolean,Enables inch units when returning any position and rate value that is not a settings value.
20,Soft limits enable,boolean,Enables soft limits checks within machine travel and sets alarm when exceeded. Requires homing.
21,Hard limits enable,boolean,Enables hard limits. Immediately halts motion and throws an alarm when switch is triggered.
22,Homing cycle enable,boolean,Enables homing cycle. Requires limit switches on all axes.
23,Homing direction invert,mask,Homing searches for a switch in the positive direction. Set axis bit (00000ZYX) to search in negative direction.
24,Homing locate feed rate,mm/min,Feed rate to slowly engage limit switch to determine its location accurately.
25,Homing search seek rate,mm/min,Seek rate to quickly find the limit switch before the slower locating phase.
26,Homing switch debounce delay,milliseconds,Sets a short delay between phases of homing cycle to let a switch debounce.
27,Homing switch pull-off distance,millimeters,Retract distance after triggering switch to disengage it. Homing will fail if switch isn't cleared.
30,Maximum spindle speed,RPM,Maximum spindle speed. Sets PWM to 100% duty cycle.
31,Minimum spindle speed,RPM,Minimum spindle speed. Sets PWM to 0.4% or lowest duty cycle.
32,Laser-mode enable,boolean,Enables laser mode. Consecutive G1/2/3 commands will not halt when spindle speed is changed.
100,X-axis travel resolution,step/mm,X-axis travel resolution in steps per millimeter.
101,Y-axis travel resolution,step/mm,Y-axis travel resolution in steps per millimeter.
102,Z-axis travel resolution,step/mm,Z-axis travel resolution in steps per millimeter.
110,X-axis maximum rate,mm/min,X-axis maximum rate. Used as G0 rapid rate.
111,Y-axis maximum rate,mm/min,Y-axis maximum rate. Used as G0 rapid rate.
112,Z-axis maximum rate,mm/min,Z-axis maximum rate. Used as G0 rapid rate.
120,X-axis acceleration,mm/sec^2,X-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.
121,Y-axis acceleration,mm/sec^2,Y-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.
122,Z-axis acceleration,mm/sec^2,Z-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.
130,X-axis maximum travel,millimeters,Maximum X-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.
131,Y-axis maximum travel,millimeters,Maximum Y-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.
132,Z-axis maximum travel,millimeters,Maximum Z-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.
/board,控制板型号,文本,代表CNC控制板的型号或标识。
/name,机器名称,文本,CNC机器的名称或标识。
/meta,元信息,文本,包含关于CNC机器的元信息，可能是描述、版本等。
/stepping/engine,步进引擎,文本,步进电机的驱动引擎类型，可能是常见的步进电机控制方式。
/stepping/idle_ms,空闲时间,整数,步进电机空闲状态的时间，以毫秒为单位。
/stepping/pulse_us,脉冲宽度,整数,步进电机脉冲宽度，以微秒为单位。
/stepping/dir_delay_us,方向延迟,整数,步进电机方向改变的延迟时间，以微秒为单位。
/stepping/disable_delay_us,停用延迟,整数,停用步进电机的延迟时间，以微秒为单位。
/stepping/segments,细分数,整数,步进电机的细分数，影响运动平滑度。
/i2c0/frequency,I2C频率,整数,I2C总线的频率，以赫兹为单位。
/sdcard/frequency_hz,SD卡频率,整数,SD卡读取频率，以赫兹为单位。
/kinematics/WallPlotter/left_axis,左边轴,文本,墙绘机构左边轴的名称。
/kinematics/WallPlotter/left_anchor_x,左锚点X坐标,浮点数,墙绘机构左边锚点的X坐标。
/kinematics/WallPlotter/left_anchor_y,左锚点Y坐标,浮点数,墙绘机构左边锚点的Y坐标。
/kinematics/WallPlotter/right_axis,右边轴,文本,墙绘机构右边轴的名称。
/kinematics/WallPlotter/right_anchor_x,右锚点X坐标,浮点数,墙绘机构右边锚点的X坐标。
/kinematics/WallPlotter/right_anchor_y,右锚点Y坐标,浮点数,墙绘机构右边锚点的Y坐标。
/kinematics/WallPlotter/segment_length,段长度,浮点数,墙绘机构段的长度。
/axes/x/steps_per_mm,X轴每毫米步数,浮点数,X轴每毫米的步进数。
/axes/x/max_rate_mm_per_min,X轴最大速度,浮点数,X轴的最大运动速度，以毫米每分钟为单位。
/axes/x/acceleration_mm_per_sec2,X轴加速度,浮点数,X轴的加速度，以毫米每平方秒为单位。
/axes/x/max_travel_mm,X轴最大行程,浮点数,X轴的最大行程长度，以毫米为单位。
/axes/x/soft_limits,X轴软限位,布尔,是否启用X轴的软限位功能。
/axes/x/homing/cxcle,X轴回零循环,文本,定义X轴回零的步骤序列。
/axes/x/homing/allow_single_axis,允许单轴回零,布尔,是否允许单轴回零。
/axes/x/homing/positive_direction,正向回零,布尔,X轴回零时是否朝正向运动。
/axes/x/homing/mpos_mm,X轴回零位置,浮点数,X轴回零的位置，以毫米为单位。
/axes/x/homing/feed_mm_per_min,X轴回零进给速度,浮点数,X轴回零的进给速度，以毫米每分钟为单位。
/axes/x/homing/seek_mm_per_min,X轴回零寻找速度,浮点数,X轴回零的寻找速度，以毫米每分钟为单位。
/axes/x/homing/settle_ms,X轴回零稳定时间,整数,X轴回零后的稳定时间，以毫秒为单位。
/axes/x/homing/seek_scaler,X轴回零寻找缩放,浮点数,X轴回零寻找速度的缩放因子。
/axes/x/homing/feed_scaler,X轴回零进给缩放,浮点数,X轴回零进给速度的缩放因子。
/axes/x/motor0/hard_limits,X轴硬限位,布尔,是否启用X轴的硬限位功能。
/axes/x/motor0/pulloff_mm,X轴脱离距离,浮点数,X轴脱离限位开关的距离，以毫米为单位。
/axes/y/steps_per_mm,Y轴每毫米步数,浮点数,Y轴每毫米的步进数。
/axes/y/max_rate_mm_per_min,Y轴最大速度,浮点数,Y轴的最大运动速度，以毫米每分钟为单位。
/axes/y/acceleration_mm_per_sec2,Y轴加速度,浮点数,Y轴的加速度，以毫米每平方秒为单位。
/axes/y/max_travel_mm,Y轴最大行程,浮点数,Y轴的最大行程长度，以毫米为单位。
/axes/y/soft_limits,Y轴软限位,布尔,是否启用Y轴的软限位功能。
/axes/y/homing/cycle,Y轴回零循环,文本,定义Y轴回零的步骤序列。
/axes/y/homing/allow_single_axis,允许单轴回零,布尔,是否允许单轴回零。
/axes/y/homing/positive_direction,正向回零,布尔,Y轴回零时是否朝正向运动。
/axes/y/homing/mpos_mm,Y轴回零位置,浮点数,Y轴回零的位置，以毫米为单位。
/axes/y/homing/feed_mm_per_min,Y轴回零进给速度,浮点数,Y轴回零的进给速度，以毫米每分钟为单位。
/axes/y/homing/seek_mm_per_min,Y轴回零寻找速度,浮点数,Y轴回零的寻找速度，以毫米每分钟为单位。
/axes/y/homing/settle_ms,Y轴回零稳定时间,整数,Y轴回零后的稳定时间，以毫秒为单位。
/axes/y/homing/seek_scaler,Y轴回零寻找缩放,浮点数,Y轴回零寻找速度的缩放因子。
/axes/y/homing/feed_scaler,Y轴回零进给缩放,浮点数,Y轴回零进给速度的缩放因子。
/axes/y/motor0/hard_limits,Y轴硬限位,布尔,是否启用Y轴的硬限位功能。
/axes/y/motor0/pulloff_mm,Y轴脱离距离,浮点数,Y轴脱离限位开关的距离，以毫米为单位。
/axes/z/steps_per_mm,Z轴每毫米步数,浮点数,Z轴每毫米的步进数。
/axes/z/max_rate_mm_per_min,Z轴最大速度,浮点数,Z轴的最大运动速度，以毫米每分钟为单位。
/axes/z/acceleration_mm_per_sec2,Z轴加速度,浮点数,Z轴的加速度，以毫米每平方秒为单位。
/axes/z/max_travel_mm,Z轴最大行程,浮点数,Z轴的最大行程长度，以毫米为单位。
/axes/z/soft_limits,Z轴软限位,布尔,是否启用Z轴的软限位功能。
/axes/z/homing/cycle,Z轴回零循环,文本,定义Z轴回零的步骤序列。
/axes/z/homing/allow_single_axis,允许单轴回零,布尔,是否允许单轴回零。
/axes/z/homing/positive_direction,正向回零,布尔,Z轴回零时是否朝正向运动。
/axes/z/homing/mpos_mm,Z轴回零位置,浮点数,Z轴回零的位置，以毫米为单位。
/axes/z/homing/feed_mm_per_min,Z轴回零进给速度,浮点数,Z轴回零的进给速度，以毫米每分钟为单位。
/axes/z/homing/seek_mm_per_min,Z轴回零寻找速度,浮点数,Z轴回零的寻找速度，以毫米每分钟为单位。
